OBJECTID,Year,Value,sex
3451343,2017,0,1
3451344,2017,2,0
3451344,2017,0,1
3451345,2017,0,0
3451345,2017,0,1
3451346,2017,2,0
3451346,2017,2,1
3451347,2017,0,0
3451347,2017,1,1
3451348,2017,1,0
3451348,2017,1,1
3451349,2017,2,0
3451349,2017,0,1
3451350,2017,4,0
3451350,2017,0,1
3451351,2017,1,0
3451351,2017,0,1
3451352,2017,1,0
3451352,2017,1,1
3451353,2017,1,0
3451353,2017,1,1
3451354,2017,3,0
3451354,2017,1,1
3451355,2017,1,0
3451355,2017,0,1
3451356,2017,0,0
3451356,2017,1,1
3451357,2017,0,0
3451357,2017,2,1
3451358,2017,1,0
3451358,2017,1,1
3451359,2017,2,0
3451359,2017,0,1
3451360,2017,0,0
3451360,2017,1,1
3451361,2017,2,0
3451361,2017,0,1
3451362,2017,1,0
3451362,2017,1,1
3451363,2017,1,0
3451363,2017,1,1
3451364,2017,0,0
3451364,2017,3,1
3451365,2017,2,0
3451365,2017,1,1
3451366,2017,1,0
3451366,2017,0,1
3451368,2017,3,0
3451368,2017,0,1
3451369,2017,2,0
3451369,2017,2,1
3451370,2017,4,0
3451370,2017,2,1
3451372,2017,1,0
3451372,2017,1,1
3451373,2017,2,0
3451373,2017,0,1
3451374,2017,1,0
3451374,2017,2,1
3451375,2017,3,0
3451375,2017,0,1
3451376,2017,2,0
3451376,2017,0,1
3451377,2017,2,0
3451377,2017,0,1
3451378,2017,1,0
3451378,2017,1,1
3451379,2017,2,0
3451379,2017,0,1
3451380,2017,1,0
3451380,2017,0,1
3451381,2017,1,0
3451381,2017,0,1
3451382,2017,1,0
3451382,2017,2,1
3451383,2017,1,0
3451383,2017,2,1
3451384,2017,1,0
3451384,2017,1,1
3451385,2017,1,0
3451385,2017,0,1
3451386,2017,1,0
3451386,2017,1,1
3451387,2017,2,0
3451387,2017,0,1
3451388,2017,0,0
3451388,2017,3,1
3451389,2017,1,0
3451389,2017,1,1
3451390,2017,1,0
3451390,2017,1,1
3451391,2017,0,0
3451391,2017,2,1
3451392,2017,0,0
3451392,2017,1,1
3451393,2017,3,0
3451393,2017,2,1
3451394,2017,3,0
3451394,2017,1,1
3451395,2017,1,0
3451395,2017,0,1
3451396,2017,2,0
3451396,2017,1,1
3451397,2017,1,0
3451397,2017,1,1
3451398,2017,2,0
3451398,2017,2,1
3451399,2017,1,0
3451399,2017,0,1
3451400,2017,0,0
3451400,2017,1,1
3451401,2017,1,0
3451401,2017,2,1
3451402,2017,1,0
3451402,2017,2,1
3451403,2017,1,0
3451403,2017,1,1
3451404,2017,2,0
3451404,2017,0,1
3451405,2017,0,0
3451405,2017,0,1
3451406,2017,1,0
3451406,2017,1,1
3451407,2017,1,0
3451407,2017,0,1
3451408,2017,2,0
3451408,2017,3,1
3451409,2017,2,0
3451409,2017,0,1
3451410,2017,1,0
3451410,2017,1,1
3451411,2017,2,0
3451411,2017,0,1
3451412,2017,1,0
3451412,2017,0,1
3451413,2017,1,0
3451413,2017,1,1
3451414,2017,2,0
3451414,2017,0,1
3451415,2017,2,0
3451415,2017,0,1
3451416,2017,2,0
3451416,2017,3,1
3451417,2017,2,0
3451417,2017,0,1
3451418,2017,1,0
3451418,2017,0,1
3451419,2017,1,0
3451419,2017,1,1
3451420,2017,0,0
3451420,2017,1,1
3451421,2017,3,0
3451421,2017,1,1
3451422,2017,3,0
3451422,2017,0,1
3451423,2017,1,0
3451423,2017,3,1
3451425,2017,0,0
3451425,2017,2,1
3451426,2017,1,0
3451426,2017,0,1
3451427,2017,2,0
3451427,2017,0,1
3451428,2017,0,0
3451428,2017,5,1
3451429,2017,2,0
3451429,2017,1,1
3451430,2017,1,0
3451430,2017,1,1
3451431,2017,1,0
3451431,2017,0,1
3451432,2017,1,0
3451432,2017,0,1
3451433,2017,2,0
3451433,2017,1,1
3451434,2017,3,0
3451434,2017,1,1
3451435,2017,1,0
3451435,2017,1,1
3451436,2017,0,0
3451436,2017,1,1
3451437,2017,1,0
3451437,2017,2,1
3451438,2017,1,0
3451438,2017,0,1
3451439,2017,1,0
3451439,2017,0,1
3451441,2017,2,0
3451441,2017,0,1
3451442,2017,3,0
3451442,2017,0,1
3451443,2017,3,0
3451443,2017,1,1
3451445,2017,1,0
3451445,2017,1,1
3451446,2017,1,0
3451446,2017,0,1
3451447,2017,1,0
3451447,2017,1,1
3451449,2017,5,0
3451449,2017,4,1
3451450,2017,1,0
3451450,2017,0,1
3451451,2017,0,0
3451451,2017,2,1
3451452,2017,1,0
3451452,2017,0,1
3451453,2017,0,0
3451453,2017,2,1
3451454,2017,1,0
3451454,2017,0,1
3451455,2017,1,0
3451455,2017,1,1
3451459,2017,0,0
3451459,2017,1,1
3451460,2017,1,0
3451460,2017,1,1
3451461,2017,2,0
3451461,2017,1,1
3451462,2017,2,0
3451462,2017,0,1
3451463,2017,3,0
3451463,2017,3,1
3451464,2017,1,0
3451464,2017,1,1
3451465,2017,1,0
3451465,2017,1,1
3451466,2017,0,0
3451466,2017,0,1
3451467,2017,3,0
3451467,2017,0,1
3451468,2017,1,0
3451468,2017,0,1
3451469,2017,2,0
3451469,2017,1,1
3451470,2017,1,0
3451470,2017,0,1
3451471,2017,1,0
3451471,2017,1,1
3451472,2017,1,0
3451472,2017,0,1
3451473,2017,1,0
